experiment_accession	is_control	biosample	target	run_type	n_files	bio_reps	tech_reps	platform	sex	organism	replication_type
ENCSR195CFR	False	dorsolateral prefrontal cortex	H3K27ac	single-ended	6	1	1	Illumina HiSeq 2000	male	Homo sapiens	unreplicated
ENCSR195JWZ	False	gastroesophageal sphincter	H3K27ac	single-ended	4	1	2	Illumina HiSeq 2500	male	Homo sapiens	unreplicated
ENCSR196CXJ	True	A673		single-ended	3	2	3	Illumina HiSeq 2000	female	Homo sapiens	isogenic
ENCSR198WIH	True	HCT116		single-ended	4	2	2	Illumina HiSeq 2000	male	Homo sapiens	isogenic
ENCSR200ETW	False	endodermal cell	H3K27ac	single-ended	4	2	2	Illumina HiSeq 2000	male	Homo sapiens	isogenic
ENCSR200JVJ	False	dorsolateral prefrontal cortex	H3K27ac	single-ended	8	1	2	Illumina NextSeq 500	male	Homo sapiens	unreplicated
ENCSR200QAA	True	spleen		single-ended	4	1	1	Illumina NextSeq 500	male	Homo sapiens	unreplicated
ENCSR201KGX	True	aorta		single-ended	1	1	1	Illumina HiSeq 2000	male	Homo sapiens	unreplicated
ENCSR201VAH	True	motor neuron		paired-ended	1	1	1	Illumina NovaSeq 6000	male	Homo sapiens	unreplicated
ENCSR203KCB	False	thyroid gland	H3K27ac	single-ended	4	2	4	Illumina HiSeq 2500	male	Homo sapiens	isogenic
ENCSR203KEU	False	RWPE1	H3K27ac	paired-ended	2	2	2	Illumina HiSeq 4000	male	Homo sapiens	isogenic
ENCSR204GMP	True	A549		single-ended	3	3	3	Illumina HiSeq 4000	male	Homo sapiens	isogenic
ENCSR204OJS	False	stomach	H3K27ac	single-ended	6	1	2	Illumina HiSeq 2500	male	Homo sapiens	unreplicated
ENCSR204TAU	False	esophagus squamous epithelium	H3K27ac	single-ended	4	1	2	Illumina HiSeq 2500	female	Homo sapiens	unreplicated
ENCSR207ABA	False	skin epidermis	H3K27ac	single-ended	4	1	1	Illumina HiSeq 2500	male	Homo sapiens	unreplicated
ENCSR207FYD	False	dorsolateral prefrontal cortex	H3K27ac	single-ended	8	1	2	Illumina NextSeq 500	female	Homo sapiens	unreplicated
ENCSR208QRN	False	transverse colon	H3K27ac	single-ended	12	2	4	Illumina HiSeq 2500	female	Homo sapiens	isogenic
ENCSR209QGZ	False	spinal cord	H3K27ac	single-ended	2	1	1	Illumina HiSeq 2000	female	Homo sapiens	unreplicated
ENCSR210ZPC	False	smooth muscle cell	H3K27ac	single-ended	3	2	3	Illumina HiSeq 2500	female	Homo sapiens	isogenic
ENCSR212FST	True	A549		single-ended	3	3	3	Illumina HiSeq 4000	male	Homo sapiens	isogenic
ENCSR212SJH	True	iPS DF 6.9		single-ended	1	1	1	Illumina Genome Analyzer IIx	male	Homo sapiens	unreplicated
ENCSR213SMK	False	sigmoid colon	H3K27ac	single-ended	1	1	1	Illumina Genome Analyzer IIx	male	Homo sapiens	unreplicated
ENCSR214MNL	True	H9		single-ended	1	1	1	Illumina HiSeq 2000	female	Homo sapiens	unreplicated
ENCSR214UPJ	True	foreskin fibroblast		single-ended	2	1	1	Illumina HiSeq 2000	male	Homo sapiens	unreplicated
ENCSR214UZE	False	skin epidermis	H3K27ac	single-ended	2	1	1	Illumina HiSeq 2500	female	Homo sapiens	unreplicated
ENCSR215WNN	True	testis		single-ended	4	1	2	Illumina HiSeq 2500	male	Homo sapiens	unreplicated
ENCSR217SDT	False	BLaER1	H3K27ac	single-ended	3	2	2	Illumina HiSeq 2000	female	Homo sapiens	isogenic
ENCSR220TRW	False	dorsolateral prefrontal cortex	H3K27ac	single-ended	8	1	2	Illumina NextSeq 500	female	Homo sapiens	unreplicated
ENCSR222QLW	False	T-cell	H3K27ac	single-ended	2	1	1	Illumina HiSeq 2000	male	Homo sapiens	unreplicated
ENCSR223UPC	False	HUES48	H3K27ac	single-ended	2	1	1	Illumina HiSeq 2000	female	Homo sapiens	unreplicated
ENCSR227FYJ	False	foreskin melanocyte	H3K27ac	paired-ended	4	1	2	Illumina HiSeq 2000	male	Homo sapiens	unreplicated
ENCSR230BWN	False	kidney	H3K27ac	single-ended	2	1	1	Illumina HiSeq 2000	male	Homo sapiens	unreplicated
ENCSR230IMS	False	liver	H3K27ac	single-ended	2	1	1	Illumina HiSeq 2000	male	Homo sapiens	unreplicated
ENCSR232ABT	True	chorion		single-ended	2	1	1	Illumina HiSeq 2000	male	Homo sapiens	unreplicated
ENCSR233RWF	False	dorsolateral prefrontal cortex	H3K27ac	single-ended	8	1	2	Illumina NextSeq 500	female	Homo sapiens	unreplicated
ENCSR234FYG	True	adrenal gland		single-ended	4	1	2	Illumina HiSeq 2500	female	Homo sapiens	unreplicated
ENCSR235KRX	False	skin epidermis	H3K27ac	single-ended	2	1	1	Illumina HiSeq 2500	male	Homo sapiens	unreplicated
ENCSR235ZBF	False	spleen	H3K27ac	single-ended	1	1	1	Illumina Genome Analyzer	male	Homo sapiens	unreplicated
ENCSR236NLU	True	liver		single-ended	1	1	1	Illumina Genome Analyzer IIx	female	Homo sapiens	unreplicated
ENCSR237ZMF	True	dorsolateral prefrontal cortex		single-ended	8	1	2	Illumina NextSeq 500	female	Homo sapiens	unreplicated
ENCSR239LAP	True	spleen		single-ended	1	1	1	Illumina HiSeq 2000	male	Homo sapiens	unreplicated
ENCSR240GDT	False	heart right ventricle	H3K27ac	single-ended	8	1	2	Illumina NextSeq 500	female	Homo sapiens	unreplicated
ENCSR242AHB	False	ovary	H3K27ac	single-ended	2	1	1	Illumina HiSeq 2500	female	Homo sapiens	unreplicated
ENCSR242TBH	False	A549	H3K27ac	single-ended	3	3	3	Illumina HiSeq 2000	male	Homo sapiens	isogenic
ENCSR243LHN	True	dorsolateral prefrontal cortex		single-ended	8	1	2	Illumina NextSeq 500	female	Homo sapiens	unreplicated
ENCSR245GEV	False	pancreas	H3K27ac	single-ended	8	1	2	Illumina NextSeq 500	female	Homo sapiens	unreplicated
ENCSR247BVB	True	CD8-positive, alpha-beta T cell		single-ended	3	1	1	Illumina HiSeq 2000	male	Homo sapiens	unreplicated
ENCSR247FUH	True	skin epidermis		single-ended	4	1	1	Illumina HiSeq 2500	male	Homo sapiens	unreplicated
ENCSR247NUF	True	colonic mucosa		single-ended	4	1	1	Illumina HiSeq 2000	female	Homo sapiens	unreplicated
ENCSR247XFQ	True	breast epithelium		single-ended	2	1	1	Illumina HiSeq 2500	female	Homo sapiens	unreplicated
ENCSR248IFK	True	RWPE1		paired-ended	2	2	2	Illumina HiSeq 4000	male	Homo sapiens	isogenic
ENCSR249IKQ	False	Peyer's patch	H3K27ac	single-ended	4	1	2	Illumina HiSeq 2500	female	Homo sapiens	unreplicated
ENCSR249INE	False	uterus	H3K27ac	single-ended	6	2	2	Illumina HiSeq 2500	female	Homo sapiens	isogenic
ENCSR250EHC	False	A549	H3K27ac	single-ended	2	2	2	Illumina HiSeq 2500	male	Homo sapiens	isogenic
ENCSR250NHD	False	psoas muscle	H3K27ac	single-ended	1	1	1	Illumina HiSeq 2000	female	Homo sapiens	unreplicated
ENCSR251PPB	False	dorsolateral prefrontal cortex	H3K27ac	single-ended	8	1	2	Illumina NextSeq 500	female	Homo sapiens	unreplicated
ENCSR255BOF	True	KOPT-K1		single-ended	5	2	3	Illumina HiSeq 2500	unknown	Homo sapiens	isogenic
ENCSR255MIG	True	motor neuron		paired-ended	1	1	1	Illumina NovaSeq 6000	male	Homo sapiens	unreplicated
ENCSR255SDP	True	BLaER1		single-ended	2	2	2	Illumina HiSeq 2000	female	Homo sapiens	isogenic
ENCSR258GSA	True	dorsolateral prefrontal cortex		single-ended	8	1	2	Illumina NextSeq 500	female	Homo sapiens	unreplicated
ENCSR261PLD	True	heart left ventricle		single-ended	8	1	2	Illumina NextSeq 500	female	Homo sapiens	unreplicated
ENCSR262JRZ	False	dorsolateral prefrontal cortex	H3K27ac	single-ended	24	2	4	Illumina NextSeq 500	female	Homo sapiens	isogenic
ENCSR264DYL	True	urinary bladder		single-ended	2	1	2	Illumina HiSeq 2000	male	Homo sapiens	unreplicated
ENCSR264HOB	True	MM.1S		single-ended	5	3	4	Illumina HiSeq 2500	female	Homo sapiens	isogenic
ENCSR266XMB	True	thoracic aorta		single-ended	3	1	1	Illumina HiSeq 2500	male	Homo sapiens	unreplicated
ENCSR267YXV	False	neutrophil	H3K27ac	single-ended	8	2	3	Illumina HiSeq 2500	unknown	Homo sapiens	anisogenic
ENCSR268BDW	True	SJSA1		paired-ended	1	1	1	Illumina HiSeq 4000	male	Homo sapiens	unreplicated
ENCSR268JQE	False	ovary	H3K27ac	single-ended	1	1	1	Illumina Genome Analyzer	female	Homo sapiens	unreplicated
ENCSR268ZCF	False	sigmoid colon	H3K27ac	single-ended	2	1	1	Illumina HiSeq 2500	female	Homo sapiens	unreplicated
ENCSR274VPI	True	A549		single-ended	3	3	3	Illumina HiSeq 2000	male	Homo sapiens	isogenic
ENCSR276SJT	True	right lobe of liver		single-ended	4	1	1	Illumina HiSeq 2500	female	Homo sapiens	unreplicated
ENCSR278ACD	True	heart right ventricle		single-ended	8	1	2	Illumina NextSeq 500	female	Homo sapiens	unreplicated
ENCSR278JAH	False	dorsolateral prefrontal cortex	H3K27ac	single-ended	16	2	4	Illumina NextSeq 500	female	Homo sapiens	isogenic
ENCSR278VUZ	True	placenta		single-ended	2	1	1	Illumina HiSeq 2000	female	Homo sapiens	unreplicated
ENCSR279KIX	False	C4-2B	H3K27ac	paired-ended	2	2	2	Illumina HiSeq 2000	male	Homo sapiens	isogenic
ENCSR285NFQ	False	BLaER1	H3K27ac	single-ended	2	2	2	Illumina HiSeq 2000	female	Homo sapiens	isogenic
ENCSR291VCJ	True	dorsolateral prefrontal cortex		single-ended	8	1	2	Illumina NextSeq 500	female	Homo sapiens	unreplicated
ENCSR293XMP	True	HUES64		single-ended	1	1	1	Illumina Genome Analyzer IIx	male	Homo sapiens	unreplicated
ENCSR293ZPH	True	dorsolateral prefrontal cortex		single-ended	8	1	2	Illumina NextSeq 500	female	Homo sapiens	unreplicated
ENCSR295FXG	True	dorsolateral prefrontal cortex		single-ended	12	1	2	Illumina NextSeq 500	female	Homo sapiens	unreplicated
ENCSR299EQJ	False	dorsolateral prefrontal cortex	H3K27ac	single-ended	8	1	2	Illumina NextSeq 500	female	Homo sapiens	unreplicated
ENCSR300BKE	True	neuronal stem cell		single-ended	1	1	1	Illumina Genome Analyzer IIx	male	Homo sapiens	unreplicated
ENCSR300ZUS	True	B cell		single-ended	2	1	1	Illumina HiSeq 2000	male	Homo sapiens	unreplicated
ENCSR303IKJ	False	thymus	H3K27ac	single-ended	1	1	1	Illumina HiSeq 2000	male	Homo sapiens	unreplicated
ENCSR305ISQ	False	mucosa of rectum	H3K27ac	single-ended	2	1	1	Illumina HiSeq 2000	female	Homo sapiens	unreplicated
ENCSR306YLG	True	skin epidermis		single-ended	4	1	1	Illumina HiSeq 2500	male	Homo sapiens	unreplicated
ENCSR307DQT	False	SU-DHL-6	H3K27ac	single-ended	4	3	3	Illumina HiSeq 2500	male	Homo sapiens	isogenic
ENCSR308JFE	True	neural cell		single-ended	8	2	6	Illumina HiSeq 2000	male	Homo sapiens	isogenic
ENCSR309LQG	True	right lobe of liver		single-ended	8	1	2	Illumina NextSeq 500	female	Homo sapiens	unreplicated
ENCSR309MYO	True	HL-60		paired-ended	1	1	1	Illumina HiSeq 4000	female	Homo sapiens	unreplicated
ENCSR310TYO	True	A549		single-ended	3	3	3	Illumina HiSeq 2000	male	Homo sapiens	isogenic
ENCSR312HLG	False	motor neuron	H3K27ac	paired-ended	2	2	2	Illumina NovaSeq 6000	male	Homo sapiens	isogenic
ENCSR313CEH	False	lower lobe of left lung	H3K27ac	single-ended	8	1	2	Illumina NextSeq 500	female	Homo sapiens	unreplicated
ENCSR314BEX	False	CD4-positive, alpha-beta memory T cell	H3K27ac	single-ended	4	1	1	Illumina HiSeq 2000	unknown	Homo sapiens	unreplicated
ENCSR314KMO	True	caudate nucleus		single-ended	2	1	1	Illumina Genome Analyzer IIx	female	Homo sapiens	unreplicated
ENCSR315IRO	False	HUES6	H3K27ac	single-ended	4	2	2	Illumina HiSeq 2000	female	Homo sapiens	isogenic
ENCSR315NIO	True	temporal lobe		single-ended	2	1	1	Illumina Genome Analyzer IIx	female	Homo sapiens	unreplicated
ENCSR315UUP	False	dorsolateral prefrontal cortex	H3K27ac	single-ended	8	1	2	Illumina NextSeq 500	female	Homo sapiens	unreplicated
ENCSR316LNO	False	gastroesophageal sphincter	H3K27ac	single-ended	10	2	2	Illumina HiSeq 2500	female	Homo sapiens	isogenic
ENCSR316UPM	True	mucosa of rectum		single-ended	1	1	1	Illumina Genome Analyzer IIx	female	Homo sapiens	unreplicated
ENCSR316ZPQ	True	sigmoid colon		single-ended	8	1	4	Illumina HiSeq 2500	female	Homo sapiens	unreplicated
ENCSR317VER	True	A549		single-ended	3	3	3	Illumina HiSeq 2000	male	Homo sapiens	isogenic
ENCSR318HUC	False	thoracic aorta	H3K27ac	single-ended	1	1	1	Illumina HiSeq 2500	male	Homo sapiens	unreplicated
ENCSR321KDV	False	skin epidermis	H3K27ac	single-ended	2	1	1	Illumina HiSeq 2500	female	Homo sapiens	unreplicated
ENCSR321LKT	False	layer of hippocampus	H3K27ac	single-ended	4	1	1	Illumina HiSeq 2000	male	Homo sapiens	unreplicated
ENCSR322TJD	False	aorta	H3K27ac	single-ended	1	1	2	Illumina HiSeq 2000	female	Homo sapiens	unreplicated
ENCSR324JDC	False	endocrine pancreas	H3K27ac	single-ended	2	1	1	Illumina HiSeq 2000	male	Homo sapiens	unreplicated
ENCSR324VMZ	True	A549		single-ended	3	3	3	Illumina HiSeq 4000	male	Homo sapiens	isogenic
ENCSR325PXS	True	A549		single-ended	3	3	3	Illumina HiSeq 2000	male	Homo sapiens	isogenic
ENCSR325VCV	False	A549	H3K27ac	single-ended	3	3	3	Illumina HiSeq 4000	male	Homo sapiens	isogenic
ENCSR326YRW	False	dorsolateral prefrontal cortex	H3K27ac	single-ended	16	1	2	Illumina NextSeq 500	female	Homo sapiens	unreplicated
ENCSR327PYZ	True	skin epidermis		single-ended	12	1	1	Illumina NextSeq 500	female	Homo sapiens	unreplicated
ENCSR327XTS	False	colonic mucosa	H3K27ac	single-ended	2	1	1	Illumina HiSeq 2000	female	Homo sapiens	unreplicated
ENCSR328AHC	True	PC-3		single-ended	4	2	2	Illumina HiSeq 2500	male	Homo sapiens	isogenic
ENCSR329FXI	False	skeletal muscle tissue	H3K27ac	single-ended	2	1	1	Illumina HiSeq 2000	female	Homo sapiens	unreplicated
ENCSR329HFV	True	tibial nerve		single-ended	4	1	2	Illumina HiSeq 2500	male	Homo sapiens	unreplicated
ENCSR330SVG	True	colonic mucosa		single-ended	1	1	1	Illumina Genome Analyzer IIx	female	Homo sapiens	unreplicated
ENCSR334DRN	False	skin epidermis	H3K27ac	single-ended	8	1	1	Illumina HiSeq 2500	male	Homo sapiens	unreplicated
ENCSR339WBT	True	neuronal stem cell		single-ended	1	1	1	Illumina Genome Analyzer IIx	male	Homo sapiens	unreplicated
ENCSR339XMR	False	skin epidermis	H3K27ac	single-ended	2	1	1	Illumina HiSeq 2500	male	Homo sapiens	unreplicated
ENCSR340NAL	False	A549	H3K27ac	single-ended	3	3	3	Illumina HiSeq 2000	male	Homo sapiens	isogenic
ENCSR340OJR	False	dorsolateral prefrontal cortex	H3K27ac	single-ended	8	1	2	Illumina NextSeq 500	female	Homo sapiens	unreplicated
ENCSR340ZTB	False	skin epidermis	H3K27ac	single-ended	2	1	1	Illumina HiSeq 2500	female	Homo sapiens	unreplicated
ENCSR342KXD	False	heart right ventricle	H3K27ac	single-ended	8	1	2	Illumina NextSeq 500	male	Homo sapiens	unreplicated
ENCSR343DFX	False	spleen	H3K27ac	single-ended	8	1	2	Illumina NextSeq 500	female	Homo sapiens	unreplicated
ENCSR343GIV	True	gastroesophageal sphincter		single-ended	4	1	2	Illumina HiSeq 2500	male	Homo sapiens	unreplicated
ENCSR344CSQ	True	A549		single-ended	3	3	3	Illumina HiSeq 4000	male	Homo sapiens	isogenic
ENCSR344ERJ	True	A549		single-ended	3	3	3	Illumina HiSeq 2000	male	Homo sapiens	isogenic
ENCSR344PHP	False	dorsolateral prefrontal cortex	H3K27ac	single-ended	8	1	2	Illumina NextSeq 500	female	Homo sapiens	unreplicated
ENCSR346FVK	False	vagina	H3K27ac	single-ended	4	1	2	Illumina HiSeq 2500	female	Homo sapiens	unreplicated
ENCSR347KLR	True	dorsolateral prefrontal cortex		single-ended	8	1	2	Illumina NextSeq 500	male	Homo sapiens	unreplicated
ENCSR347VUG	True	thyroid gland		single-ended	4	1	2	Illumina HiSeq 2500	female	Homo sapiens	unreplicated
ENCSR349VAW	False	SJSA1	H3K27ac	paired-ended	2	2	2	Illumina HiSeq 4000	male	Homo sapiens	isogenic
ENCSR350EFV	False	A549	H3K27ac	single-ended	3	3	3	Illumina HiSeq 2000	male	Homo sapiens	isogenic
ENCSR354HOM	True	BLaER1		single-ended	2	2	2	Illumina HiSeq 2000	female	Homo sapiens	isogenic
ENCSR355GNZ	False	coronary artery	H3K27ac	single-ended	4	1	2	Illumina HiSeq 2500	female	Homo sapiens	unreplicated
ENCSR355RJN	True	naive thymus-derived CD4-positive, alpha-beta T cell		single-ended	6	2	2	Illumina HiSeq 2000	unknown	Homo sapiens	anisogenic
ENCSR355UYP	False	cingulate gyrus	H3K27ac	single-ended	6	1	1	Illumina HiSeq 2000	male	Homo sapiens	unreplicated
ENCSR360NJD	True	skin epidermis		single-ended	4	1	1	Illumina HiSeq 2500	male	Homo sapiens	unreplicated
ENCSR361GKY	True	OCI-LY3		single-ended	5	2	2	Illumina HiSeq 2500	male	Homo sapiens	isogenic
ENCSR363KHN	True	chorionic villus		single-ended	2	1	1	Illumina HiSeq 2000	male	Homo sapiens	unreplicated
ENCSR367UDO	True	Karpas-422		single-ended	4	2	2	Illumina HiSeq 2500	female	Homo sapiens	isogenic
ENCSR367WYJ	False	psoas muscle	H3K27ac	single-ended	3	1	2	Illumina HiSeq 2000	male	Homo sapiens	unreplicated
ENCSR368CYW	False	NCI-H929	H3K27ac	paired-ended	2	2	2	Illumina HiSeq 4000	female	Homo sapiens	isogenic
ENCSR368NLE	True	right atrium auricular region		single-ended	6	2	2	Illumina HiSeq 2500	female	Homo sapiens	isogenic
ENCSR370OQJ	False	heart right ventricle	H3K27ac	single-ended	8	1	2	Illumina NextSeq 500	male	Homo sapiens	unreplicated
ENCSR373OML	True	dorsolateral prefrontal cortex		single-ended	8	1	2	Illumina NextSeq 500	female	Homo sapiens	unreplicated
ENCSR376YUP	True	dorsolateral prefrontal cortex		single-ended	8	1	2	Illumina NextSeq 500	female	Homo sapiens	unreplicated
ENCSR379DNM	False	dorsolateral prefrontal cortex	H3K27ac	single-ended	8	1	2	Illumina NextSeq 500	female	Homo sapiens	unreplicated
ENCSR379WXM	False	neurosphere	H3K27ac	paired-ended	2	1	1	Illumina HiSeq 2000	unknown	Homo sapiens	unreplicated
ENCSR380KOO	False	angular gyrus	H3K27ac	single-ended	6	1	1	Illumina HiSeq 2000	male	Homo sapiens	unreplicated
ENCSR384KIB	True	transverse colon		single-ended	16	2	5	Illumina HiSeq 2500	female	Homo sapiens	isogenic
ENCSR385ODY	True	testis		single-ended	6	1	2	Illumina HiSeq 2500	male	Homo sapiens	unreplicated
ENCSR386CKJ	False	skin epidermis	H3K27ac	single-ended	2	1	1	Illumina HiSeq 2500	male	Homo sapiens	unreplicated
ENCSR386UHY	True	dorsolateral prefrontal cortex		single-ended	8	1	2	Illumina NextSeq 500	female	Homo sapiens	unreplicated
ENCSR391EQV	False	natural killer cell	H3K27ac	single-ended	2	1	1	Illumina HiSeq 2000	male	Homo sapiens	unreplicated
ENCSR391NPE	False	22Rv1	H3K27ac	paired-ended	2	2	2	Illumina HiSeq 2000	unknown	Homo sapiens	isogenic
ENCSR394DWD	True	RWPE2		paired-ended	3	2	2	Illumina HiSeq 2000	male	Homo sapiens	isogenic
ENCSR394ZWY	True	dorsolateral prefrontal cortex		single-ended	8	1	2	Illumina NextSeq 500	female	Homo sapiens	unreplicated
ENCSR397NQK	False	skin epidermis	H3K27ac	single-ended	2	1	1	Illumina HiSeq 2500	male	Homo sapiens	unreplicated
ENCSR399JUL	True	BLaER1		single-ended	2	2	2	Illumina HiSeq 2000	female	Homo sapiens	isogenic
ENCSR399QWL	False	dendritic cell	H3K27ac	paired-ended	1	1	1	Illumina NextSeq 500	unknown	Homo sapiens	unreplicated
ENCSR400XSW	False	BLaER1	H3K27ac	single-ended	2	2	2	Illumina HiSeq 2000	female	Homo sapiens	isogenic
ENCSR401KZW	False	spleen	H3K27ac	single-ended	8	1	2	Illumina NextSeq 500	male	Homo sapiens	unreplicated
ENCSR402HFW	False	pancreas	H3K27ac	single-ended	1	1	1	Illumina HiSeq 2000	female	Homo sapiens	unreplicated
ENCSR402JWL	False	heart left ventricle	H3K27ac	single-ended	8	1	2	Illumina NextSeq 500	male	Homo sapiens	unreplicated
ENCSR403PZH	False	psoas muscle	H3K27ac	single-ended	8	1	2	Illumina NextSeq 500	female	Homo sapiens	unreplicated
ENCSR403VPZ	True	heart left ventricle		single-ended	8	1	2	Illumina NextSeq 500	female	Homo sapiens	unreplicated
ENCSR404IRS	True	parathyroid adenoma		single-ended	1	1	1	Illumina HiSeq 2000	male	Homo sapiens	unreplicated
ENCSR405BDN	True	dorsolateral prefrontal cortex		single-ended	8	1	2	Illumina NextSeq 500	female	Homo sapiens	unreplicated
ENCSR405ESP	False	adrenal gland	H3K27ac	single-ended	2	1	2	Illumina HiSeq 2000	male	Homo sapiens	unreplicated
ENCSR405FZE	False	duodenal mucosa	H3K27ac	single-ended	2	1	1	Illumina HiSeq 2000	male	Homo sapiens	unreplicated
ENCSR405NKC	True	dorsolateral prefrontal cortex		single-ended	8	1	2	Illumina NextSeq 500	female	Homo sapiens	unreplicated
ENCSR405VDU	True	CD4-positive, alpha-beta memory T cell		single-ended	4	1	1	Illumina HiSeq 2000	unknown	Homo sapiens	unreplicated
ENCSR413QLR	False	suprapubic skin	H3K27ac	single-ended	4	1	2	Illumina HiSeq 2500	male	Homo sapiens	unreplicated
ENCSR413YCI	False	BLaER1	H3K27ac	single-ended	2	2	2	Illumina HiSeq 2000	female	Homo sapiens	isogenic
ENCSR416ESX	True	layer of hippocampus		single-ended	4	1	1	Illumina HiSeq 2000	male	Homo sapiens	unreplicated
ENCSR417AQU	True	dorsolateral prefrontal cortex		single-ended	12	1	2	Illumina NextSeq 500	female	Homo sapiens	unreplicated
ENCSR419BNY	False	heart left ventricle	H3K27ac	single-ended	8	1	2	Illumina NextSeq 500	male	Homo sapiens	unreplicated
ENCSR420XKX	True	foreskin melanocyte		single-ended	2	1	1	Illumina HiSeq 2000	male	Homo sapiens	unreplicated
ENCSR422TGJ	True	upper lobe of left lung		single-ended	2	1	1	Illumina HiSeq 2500	female	Homo sapiens	unreplicated
ENCSR424IJM	False	dorsolateral prefrontal cortex	H3K27ac	single-ended	8	1	2	Illumina NextSeq 500	female	Homo sapiens	unreplicated
ENCSR425FUS	False	motor neuron	H3K27ac	paired-ended	2	2	2	Illumina NovaSeq 6000	male	Homo sapiens	isogenic
ENCSR425NYG	True	foreskin melanocyte		paired-ended	2	1	1	Illumina HiSeq 2000	male	Homo sapiens	unreplicated
ENCSR425PQI	False	trophoblast cell	H3K27ac	single-ended	2	2	2	Illumina Genome Analyzer IIx	male	Homo sapiens	isogenic
ENCSR426VHO	False	spleen	H3K27ac	single-ended	12	2	4	Illumina HiSeq 2500	male	Homo sapiens	isogenic
ENCSR427DIF	True	dorsolateral prefrontal cortex		single-ended	8	1	2	Illumina NextSeq 500	female	Homo sapiens	unreplicated
ENCSR429YAE	False	iPS-18a	H3K27ac	single-ended	4	1	1	Illumina HiSeq 2000	female	Homo sapiens	unreplicated
ENCSR430RVP	False	amnion	H3K27ac	single-ended	2	1	1	Illumina HiSeq 2000	male	Homo sapiens	unreplicated
ENCSR432DPY	False	body of pancreas	H3K27ac	single-ended	4	1	2	Illumina HiSeq 2500	female	Homo sapiens	unreplicated
ENCSR435JKM	False	A549	H3K27ac	single-ended	3	3	3	Illumina HiSeq 2500	male	Homo sapiens	isogenic
ENCSR436JNB	False	spleen	H3K27ac	single-ended	8	1	2	Illumina NextSeq 500	female	Homo sapiens	unreplicated
ENCSR437DCH	True	dorsolateral prefrontal cortex		single-ended	12	1	2	Illumina NextSeq 500	female	Homo sapiens	unreplicated
ENCSR437QMD	False	stomach	H3K27ac	single-ended	2	1	2	Illumina Genome Analyzer	male	Homo sapiens	unreplicated
ENCSR438KQU	False	dorsolateral prefrontal cortex	H3K27ac	single-ended	12	1	2	Illumina NextSeq 500	female	Homo sapiens	unreplicated
ENCSR438NOO	True	skin epidermis		single-ended	4	1	1	Illumina HiSeq 2500	male	Homo sapiens	unreplicated
ENCSR438SPO	False	kidney	H3K27ac	single-ended	2	1	1	Illumina HiSeq 2000	male	Homo sapiens	unreplicated
ENCSR440PMP	False	Peyer's patch	H3K27ac	single-ended	4	1	2	Illumina HiSeq 2500	male	Homo sapiens	unreplicated
ENCSR443UYU	False	coronary artery	H3K27ac	single-ended	2	1	1	Illumina HiSeq 2500	female	Homo sapiens	unreplicated
ENCSR444GJM	True	CD14-positive monocyte		single-ended	2	1	1	Illumina HiSeq 2000	male	Homo sapiens	unreplicated
ENCSR447OHF	False	mucosa of rectum	H3K27ac	single-ended	2	1	1	Illumina HiSeq 2000	female	Homo sapiens	unreplicated
ENCSR447ZGY	False	OCI-LY7	H3K27ac	paired-ended	5	2	2	Illumina NextSeq 500	male	Homo sapiens	isogenic
ENCSR449AUD	False	dorsolateral prefrontal cortex	H3K27ac	single-ended	8	1	2	Illumina NextSeq 500	female	Homo sapiens	unreplicated
ENCSR449AXO	False	neural progenitor cell	H3K27ac	single-ended	4	2	2	Illumina HiSeq 2500	female	Homo sapiens	isogenic
ENCSR449RSE	True	muscle of leg		single-ended	1	1	1	Illumina HiSeq 2000	female	Homo sapiens	unreplicated
ENCSR450JZC	False	dendritic cell	H3K27ac	paired-ended	1	1	1	Illumina NextSeq 500	unknown	Homo sapiens	unreplicated
ENCSR451WXC	False	BLaER1	H3K27ac	single-ended	3	2	2	Illumina HiSeq 2000	female	Homo sapiens	isogenic
ENCSR452GUC	True	BLaER1		single-ended	2	2	2	Illumina HiSeq 2000	female	Homo sapiens	isogenic
ENCSR453MUW	False	upper lobe of left lung	H3K27ac	single-ended	4	1	2	Illumina HiSeq 2500	female	Homo sapiens	unreplicated
ENCSR454FJM	True	lower lobe of right lung		single-ended	8	1	2	Illumina NextSeq 500	male	Homo sapiens	unreplicated
ENCSR454VRA	False	small intestine	H3K27ac	single-ended	1	1	1	Illumina Genome Analyzer	male	Homo sapiens	unreplicated
ENCSR455AFK	True	BLaER1		single-ended	2	2	2	Illumina HiSeq 2000	female	Homo sapiens	isogenic
ENCSR456AMX	True	psoas muscle		single-ended	8	1	2	Illumina NextSeq 500	female	Homo sapiens	unreplicated
ENCSR456XCT	True	CD4-positive, alpha-beta memory T cell		single-ended	3	1	1	Illumina HiSeq 2000	unknown	Homo sapiens	unreplicated
ENCSR458RRZ	False	liver	H3K27ac	single-ended	2	1	1	Illumina HiSeq 2000	male	Homo sapiens	unreplicated
ENCSR459LGY	True	chorionic villus		single-ended	2	1	1	Illumina HiSeq 2000	unknown	Homo sapiens	unreplicated
ENCSR461GYN	False	dorsolateral prefrontal cortex	H3K27ac	single-ended	8	1	2	Illumina NextSeq 500	female	Homo sapiens	unreplicated
ENCSR461UOU	True	trophoblast		single-ended	2	1	1	Illumina HiSeq 2000	female	Homo sapiens	unreplicated
